"Electricity statistics (MW/GWh) by Country/area, Technology, Data Type, Grid connection and Year"

"Country/area","Technology","Data Type","Grid connection","Year",Electricity statistics (MW/GWh)
"Afghanistan","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2020",-
"Afghanistan","Geothermal energy","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Afghanistan","Total Non-Renewable","Electricity Generation (GWh)","All","2020",151.79
"Afghanistan","Total Non-Renewable","Electricity Generation (GWh)","On-grid","2020",125.90
"Afghanistan","Total Non-Renewable","Electricity Generation (GWh)","Off-grid","2020",25.89
"Afghanistan","Total Non-Renewable","Electricity Installed Capacity (MW)","All","2020",276.66
"Afghanistan","Total Non-Renewable","Electricity Installed Capacity (MW)","On-grid","2020",179.18
"Afghanistan","Total Non-Renewable","Electricity Installed Capacity (MW)","Off-grid","2020",97.48
"Afghanistan","Pumped storage","Electricity Generation (GWh)","All","2020",-
"Afghanistan","Pumped storage","Electricity Generation (GWh)","On-grid","2020",-
"Afghanistan","Pumped storage","Electricity Generation (GWh)","Off-grid","2020",-
"Afghanistan","Pumped storage","Electricity Installed Capacity (MW)","All","2020",-
"Afghanistan","Pumped storage","Electricity Installed Capacity (MW)","On-grid","2020",-
"Afghanistan","Pumped storage","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Afghanistan","Coal and peat","Electricity Generation (GWh)","All","2020",-
"Afghanistan","Coal and peat","Electricity Generation (GWh)","On-grid","2020",-
"Afghanistan","Coal and peat","Electricity Generation (GWh)","Off-grid","2020",-
"Afghanistan","Coal and peat","Electricity Installed Capacity (MW)","All","2020",-
"Afghanistan","Coal and peat","Electricity Installed Capacity (MW)","On-grid","2020",-
"Afghanistan","Coal and peat","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Afghanistan","Oil","Electricity Generation (GWh)","All","2020",125.90
"Afghanistan","Oil","Electricity Generation (GWh)","On-grid","2020",125.90
"Afghanistan","Oil","Electricity Generation (GWh)","Off-grid","2020",-
"Afghanistan","Oil","Electricity Installed Capacity (MW)","All","2020",139.18
"Afghanistan","Oil","Electricity Installed Capacity (MW)","On-grid","2020",139.18
"Afghanistan","Oil","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Afghanistan","Natural gas","Electricity Generation (GWh)","All","2020",-
"Afghanistan","Natural gas","Electricity Generation (GWh)","On-grid","2020",-
"Afghanistan","Natural gas","Electricity Generation (GWh)","Off-grid","2020",-
"Afghanistan","Natural gas","Electricity Installed Capacity (MW)","All","2020",40.00
"Afghanistan","Natural gas","Electricity Installed Capacity (MW)","On-grid","2020",40.00
"Afghanistan","Natural gas","Electricity Installed Capacity (MW)","Off-grid","2020",-
